Customer_ID,Customer_Name,Age_Group,Customer_Segment,City_ID
CUST0072,Customer 0072,36-45,Premium,C020
CUST0073,Customer 0073,36-45,Regular,C011
CUST0074,Customer 0074,26-35,Budget,C020
CUST0075,Customer 0075,26-35,Regular,C006
CUST0076,Customer 0076,18-25,High Value,C014
CUST0077,Customer 0077,36-45,Regular,C025
CUST0078,Customer 0078,56+,Regular,C011
CUST0079,Customer 0079,18-25,Premium,C015
CUST0080,Customer 0080,26-35,Premium,C019
CUST0081,Customer 0081,36-45,Premium,C003
CUST0082,Customer 0082,26-35,Premium,C021
CUST0083,Customer 0083,56+,Budget,C002
CUST0084,Customer 0084,18-25,Budget,C023
CUST0085,Customer 0085,26-35,High Value,C020
CUST0086,Customer 0086,46-55,Regular,C025
CUST0087,Customer 0087,26-35,Budget,C006
CUST0088,Customer 0088,56+,Regular,C017
CUST0089,Customer 0089,18-25,Budget,C007
CUST0090,Customer 0090,18-25,Regular,C019
CUST0091,Customer 0091,36-45,Regular,C016
CUST0092,Customer 0092,26-35,Premium,C002
CUST0093,Customer 0093,36-45,Regular,C011
CUST0094,Customer 0094,26-35,Regular,C024
CUST0095,Customer 0095,18-25,Regular,C003
CUST0096,Customer 0096,18-25,Regular,C010
CUST0097,Customer 0097,36-45,Budget,C019
CUST0098,Customer 0098,18-25,Premium,C025
CUST0099,Customer 0099,26-35,Premium,C005
CUST0100,Customer 0100,18-25,Premium,C005
CUST0101,Customer 0101,26-35,Budget,C022
CUST0102,Customer 0102,26-35,Regular,C003
CUST0103,Customer 0103,46-55,Regular,C009
CUST0104,Customer 0104,18-25,Regular,C017
CUST0105,Customer 0105,26-35,Budget,C025
CUST0106,Customer 0106,46-55,Regular,C024
CUST0107,Customer 0107,56+,Premium,C014
CUST0108,Customer 0108,56+,Regular,C001
CUST0109,Customer 0109,36-45,Regular,C021
CUST0110,Customer 0110,26-35,Budget,C008
CUST0111,Customer 0111,36-45,Regular,C010
CUST0112,Customer 0112,26-35,Regular,C014
CUST0113,Customer 0113,36-45,Regular,C011
CUST0114,Customer 0114,36-45,Regular,C013
CUST0115,Customer 0115,36-45,Premium,C002
CUST0116,Customer 0116,26-35,Regular,C014
CUST0117,Customer 0117,26-35,Premium,C006
CUST0118,Customer 0118,36-45,Regular,C023
CUST0119,Customer 0119,36-45,Budget,C020
CUST0120,Customer 0120,26-35,Regular,C008
CUST0121,Customer 0121,36-45,Regular,C025
CUST0122,Customer 0122,36-45,Regular,C024
CUST0123,Customer 0123,26-35,Regular,C002
CUST0124,Customer 0124,18-25,Budget,C025
CUST0125,Customer 0125,26-35,Regular,C020
CUST0126,Customer 0126,46-55,High Value,C008
CUST0127,Customer 0127,36-45,Regular,C008
CUST0128,Customer 0128,46-55,Regular,C019
CUST0129,Customer 0129,26-35,Budget,C006
CUST0130,Customer 0130,46-55,Regular,C010
CUST0131,Customer 0131,36-45,Premium,C024
CUST0132,Customer 0132,36-45,Regular,C017
CUST0133,Customer 0133,26-35,Regular,C015
CUST0134,Customer 0134,26-35,Budget,C007
CUST0135,Customer 0135,36-45,Regular,C016
CUST0136,Customer 0136,18-25,Budget,C002
CUST0137,Customer 0137,18-25,Budget,C015
CUST0138,Customer 0138,26-35,Budget,C004
CUST0139,Customer 0139,26-35,Regular,C004
CUST0140,Customer 0140,46-55,Premium,C021
CUST0141,Customer 0141,36-45,Regular,C023
CUST0142,Customer 0142,36-45,Regular,C024
CUST0143,Customer 0143,26-35,Regular,C014
CUST0144,Customer 0144,26-35,Budget,C009
CUST0145,Customer 0145,18-25,Premium,C001
CUST0146,Customer 0146,46-55,Budget,C013
CUST0147,Customer 0147,36-45,Budget,C007
CUST0148,Customer 0148,26-35,Regular,C016
CUST0149,Customer 0149,56+,Premium,C024
CUST0150,Customer 0150,36-45,Regular,C011
CUST0151,Customer 0151,46-55,Regular,C009
CUST0152,Customer 0152,36-45,High Value,C008
CUST0153,Customer 0153,36-45,Regular,C018
CUST0154,Customer 0154,26-35,Regular,C013
CUST0155,Customer 0155,26-35,Regular,C022
CUST0156,Customer 0156,36-45,Premium,C022
CUST0157,Customer 0157,46-55,Regular,C005
CUST0158,Customer 0158,46-55,Premium,C015
CUST0159,Customer 0159,18-25,Budget,C013
CUST0160,Customer 0160,26-35,High Value,C005
CUST0161,Customer 0161,26-35,Regular,C020
CUST0162,Customer 0162,46-55,Regular,C002
CUST0163,Customer 0163,36-45,Premium,C024
CUST0164,Customer 0164,26-35,Premium,C020
CUST0165,Customer 0165,56+,Premium,C022
CUST0166,Customer 0166,26-35,Budget,C024
CUST0167,Customer 0167,56+,Budget,C011
CUST0168,Customer 0168,36-45,Regular,C007
CUST0169,Customer 0169,56+,Regular,C003
CUST0170,Customer 0170,26-35,Premium,C014
CUST0171,Customer 0171,26-35,Regular,C022
CUST0172,Customer 0172,26-35,Budget,C015
CUST0173,Customer 0173,46-55,Regular,C012
CUST0174,Customer 0174,56+,Regular,C006
CUST0175,Customer 0175,46-55,Premium,C012
CUST0176,Customer 0176,26-35,Premium,C020
CUST0177,Customer 0177,36-45,Premium,C020
CUST0178,Customer 0178,18-25,Regular,C012
CUST0179,Customer 0179,18-25,Regular,C021
CUST0180,Customer 0180,56+,Budget,C006
CUST0181,Customer 0181,56+,Budget,C014
CUST0182,Customer 0182,56+,High Value,C002
CUST0183,Customer 0183,18-25,Premium,C012
CUST0184,Customer 0184,46-55,Premium,C008
CUST0185,Customer 0185,46-55,Regular,C014
CUST0186,Customer 0186,36-45,Regular,C011
CUST0187,Customer 0187,46-55,Budget,C007
CUST0188,Customer 0188,36-45,Premium,C009
CUST0189,Customer 0189,36-45,Premium,C012
CUST0190,Customer 0190,26-35,Regular,C010
CUST0191,Customer 0191,26-35,Budget,C006
CUST0192,Customer 0192,26-35,Regular,C002
CUST0193,Customer 0193,26-35,Regular,C016
CUST0194,Customer 0194,18-25,Regular,C015
CUST0195,Customer 0195,18-25,Regular,C018
CUST0196,Customer 0196,26-35,Premium,C002
CUST0197,Customer 0197,46-55,Regular,C007
CUST0198,Customer 0198,26-35,Premium,C010
CUST0199,Customer 0199,26-35,Regular,C002
CUST0200,Customer 0200,26-35,Budget,C015
CUST0201,Customer 0201,36-45,Budget,C004
CUST0202,Customer 0202,46-55,Regular,C001
CUST0203,Customer 0203,36-45,Budget,C013
CUST0204,Customer 0204,18-25,High Value,C023
CUST0205,Customer 0205,36-45,Budget,C015
CUST0206,Customer 0206,26-35,Regular,C003
CUST0207,Customer 0207,56+,Budget,C017
CUST0208,Customer 0208,56+,Regular,C016
CUST0209,Customer 0209,56+,Regular,C004
CUST0210,Customer 0210,26-35,Regular,C017
CUST0211,Customer 0211,36-45,Regular,C013
CUST0212,Customer 0212,26-35,Regular,C011
CUST0213,Customer 0213,36-45,Regular,C001
CUST0214,Customer 0214,26-35,Premium,C008
CUST0215,Customer 0215,18-25,Regular,C003
CUST0216,Customer 0216,26-35,Budget,C006
CUST0217,Customer 0217,18-25,Budget,C016
CUST0218,Customer 0218,26-35,Regular,C016
CUST0219,Customer 0219,26-35,Regular,C019
CUST0220,Customer 0220,46-55,Regular,C019
CUST0221,Customer 0221,26-35,Budget,C020
CUST0222,Customer 0222,36-45,Regular,C012
CUST0223,Customer 0223,46-55,Regular,C020
CUST0224,Customer 0224,26-35,Regular,C005
CUST0225,Customer 0225,46-55,Regular,C021
CUST0226,Customer 0226,18-25,Regular,C012
CUST0227,Customer 0227,18-25,Regular,C017
CUST0228,Customer 0228,18-25,Budget,C024
CUST0229,Customer 0229,26-35,Premium,C001
CUST0230,Customer 0230,26-35,Premium,C003
CUST0231,Customer 0231,26-35,High Value,C024
CUST0232,Customer 0232,26-35,Premium,C004
CUST0233,Customer 0233,36-45,Premium,C014
CUST0234,Customer 0234,26-35,High Value,C005
CUST0235,Customer 0235,26-35,Budget,C017
CUST0236,Customer 0236,18-25,Regular,C025
CUST0237,Customer 0237,36-45,Regular,C021
CUST0238,Customer 0238,26-35,Premium,C024
CUST0239,Customer 0239,18-25,Regular,C009
CUST0240,Customer 0240,18-25,Regular,C016
CUST0241,Customer 0241,36-45,High Value,C016
CUST0242,Customer 0242,36-45,High Value,C006
CUST0243,Customer 0243,26-35,Regular,C025
CUST0244,Customer 0244,18-25,Regular,C009
CUST0245,Customer 0245,56+,Budget,C014
CUST0246,Customer 0246,46-55,Regular,C015
CUST0247,Customer 0247,18-25,Regular,C020
CUST0248,Customer 0248,26-35,Regular,C012
CUST0249,Customer 0249,18-25,High Value,C018
CUST0250,Customer 0250,26-35,Budget,C007
CUST0251,Customer 0251,36-45,Premium,C002
CUST0252,Customer 0252,26-35,Premium,C008
CUST0253,Customer 0253,36-45,High Value,C004
CUST0254,Customer 0254,46-55,Regular,C003
CUST0255,Customer 0255,26-35,Regular,C016
CUST0256,Customer 0256,18-25,Regular,C009
CUST0257,Customer 0257,46-55,Premium,C001
CUST0258,Customer 0258,18-25,Premium,C019
CUST0259,Customer 0259,26-35,Premium,C009
CUST0260,Customer 0260,46-55,Budget,C015
CUST0261,Customer 0261,56+,Premium,C022
CUST0262,Customer 0262,56+,Regular,C025
CUST0263,Customer 0263,26-35,Regular,C007
CUST0264,Customer 0264,18-25,Budget,C020
CUST0265,Customer 0265,26-35,Premium,C011
CUST0266,Customer 0266,18-25,Premium,C018
CUST0267,Customer 0267,36-45,Regular,C003
CUST0268,Customer 0268,56+,High Value,C020
CUST0269,Customer 0269,26-35,Budget,C003
CUST0270,Customer 0270,26-35,Regular,C005
CUST0271,Customer 0271,26-35,Budget,C013
CUST0272,Customer 0272,26-35,Regular,C007
CUST0273,Customer 0273,36-45,Budget,C014
CUST0274,Customer 0274,36-45,Premium,C005
CUST0275,Customer 0275,18-25,Regular,C025
CUST0276,Customer 0276,36-45,High Value,C025
CUST0277,Customer 0277,18-25,Regular,C017
CUST0278,Customer 0278,18-25,Premium,C019
CUST0279,Customer 0279,18-25,Budget,C001
CUST0280,Customer 0280,46-55,Regular,C016
CUST0281,Customer 0281,56+,Regular,C013
CUST0282,Customer 0282,26-35,Regular,C021
CUST0283,Customer 0283,46-55,Premium,C009
CUST0284,Customer 0284,36-45,Regular,C020
CUST0285,Customer 0285,26-35,Premium,C002
CUST0286,Customer 0286,36-45,Premium,C019
CUST0287,Customer 0287,18-25,Regular,C010
CUST0288,Customer 0288,46-55,Premium,C020
CUST0289,Customer 0289,56+,Budget,C020
CUST0290,Customer 0290,36-45,Regular,C019
CUST0291,Customer 0291,36-45,Budget,C004
CUST0292,Customer 0292,36-45,Budget,C004
CUST0293,Customer 0293,26-35,Regular,C017
CUST0294,Customer 0294,36-45,Regular,C019
CUST0295,Customer 0295,18-25,Regular,C013
CUST0296,Customer 0296,36-45,Regular,C007
CUST0297,Customer 0297,36-45,Regular,C007
CUST0298,Customer 0298,26-35,Premium,C014
CUST0299,Customer 0299,26-35,Regular,C005
CUST0300,Customer 0300,26-35,Regular,C013
CUST0301,Customer 0301,26-35,Premium,C023
CUST0302,Customer 0302,26-35,Premium,C005
CUST0303,Customer 0303,18-25,Budget,C021
CUST0304,Customer 0304,36-45,Budget,C014
CUST0305,Customer 0305,36-45,Premium,C002
CUST0306,Customer 0306,18-25,Premium,C016
CUST0307,Customer 0307,26-35,Premium,C017
CUST0308,Customer 0308,26-35,Regular,C005
CUST0309,Customer 0309,26-35,Regular,C023
CUST0310,Customer 0310,26-35,High Value,C021
CUST0311,Customer 0311,26-35,Regular,C013
CUST0312,Customer 0312,36-45,Premium,C021
CUST0313,Customer 0313,36-45,Regular,C018
CUST0314,Customer 0314,56+,Premium,C025
CUST0315,Customer 0315,56+,Budget,C010
CUST0316,Customer 0316,26-35,Regular,C017
CUST0317,Customer 0317,36-45,Budget,C008
CUST0318,Customer 0318,26-35,Regular,C015
CUST0319,Customer 0319,26-35,Budget,C017
CUST0320,Customer 0320,18-25,Premium,C009
CUST0321,Customer 0321,46-55,Budget,C007
CUST0322,Customer 0322,26-35,Regular,C019
CUST0323,Customer 0323,36-45,Regular,C007
CUST0324,Customer 0324,26-35,Regular,C011
CUST0325,Customer 0325,36-45,Budget,C010
CUST0326,Customer 0326,36-45,Premium,C015
CUST0327,Customer 0327,46-55,High Value,C020
CUST0328,Customer 0328,18-25,Regular,C007
CUST0329,Customer 0329,56+,Regular,C013
CUST0330,Customer 0330,36-45,Regular,C013
CUST0331,Customer 0331,36-45,Budget,C015
CUST0332,Customer 0332,36-45,Regular,C016
CUST0333,Customer 0333,26-35,Regular,C022
CUST0334,Customer 0334,18-25,Premium,C022
CUST0335,Customer 0335,26-35,Premium,C017
CUST0336,Customer 0336,18-25,Regular,C025
CUST0337,Customer 0337,26-35,Premium,C003
CUST0338,Customer 0338,18-25,Premium,C004
CUST0339,Customer 0339,26-35,High Value,C014
CUST0340,Customer 0340,36-45,Premium,C012
CUST0341,Customer 0341,36-45,Regular,C006
CUST0342,Customer 0342,36-45,Budget,C014
CUST0343,Customer 0343,36-45,Regular,C001
CUST0344,Customer 0344,36-45,Regular,C002
CUST0345,Customer 0345,26-35,Regular,C014
CUST0346,Customer 0346,56+,Premium,C003
CUST0347,Customer 0347,26-35,Budget,C003
CUST0348,Customer 0348,18-25,Regular,C014
CUST0349,Customer 0349,26-35,Budget,C019
CUST0350,Customer 0350,26-35,Budget,C006
CUST0351,Customer 0351,26-35,High Value,C021
CUST0352,Customer 0352,36-45,Premium,C019
CUST0353,Customer 0353,56+,Premium,C017
CUST0354,Customer 0354,56+,Regular,C023
CUST0355,Customer 0355,18-25,Premium,C025
CUST0356,Customer 0356,36-45,Premium,C015
CUST0357,Customer 0357,36-45,Budget,C004
CUST0358,Customer 0358,36-45,High Value,C009
CUST0359,Customer 0359,36-45,Regular,C013
CUST0360,Customer 0360,18-25,High Value,C017
CUST0361,Customer 0361,26-35,Budget,C022
CUST0362,Customer 0362,18-25,Budget,C017
CUST0363,Customer 0363,18-25,Premium,C017
CUST0364,Customer 0364,26-35,Premium,C003
CUST0365,Customer 0365,36-45,High Value,C005
CUST0366,Customer 0366,36-45,Premium,C016
CUST0367,Customer 0367,18-25,Budget,C020
CUST0368,Customer 0368,36-45,Premium,C011
CUST0369,Customer 0369,18-25,Regular,C013
CUST0370,Customer 0370,26-35,Regular,C004
CUST0371,Customer 0371,18-25,Regular,C002
CUST0372,Customer 0372,18-25,Premium,C003
CUST0373,Customer 0373,26-35,High Value,C007
CUST0374,Customer 0374,26-35,Budget,C024
CUST0375,Customer 0375,46-55,Regular,C021
CUST0376,Customer 0376,26-35,Regular,C003
CUST0377,Customer 0377,36-45,Budget,C001
CUST0378,Customer 0378,56+,Premium,C002
CUST0379,Customer 0379,18-25,Premium,C025
CUST0380,Customer 0380,18-25,Premium,C012
CUST0381,Customer 0381,26-35,Budget,C025
CUST0382,Customer 0382,18-25,Premium,C022
CUST0383,Customer 0383,18-25,Premium,C022
CUST0384,Customer 0384,18-25,High Value,C008
CUST0385,Customer 0385,36-45,Regular,C004
CUST0386,Customer 0386,26-35,Regular,C025
CUST0387,Customer 0387,18-25,Budget,C008
CUST0388,Customer 0388,26-35,Premium,C016
CUST0389,Customer 0389,18-25,Regular,C020
CUST0390,Customer 0390,36-45,Regular,C014
CUST0391,Customer 0391,36-45,Regular,C013
CUST0392,Customer 0392,18-25,Premium,C012
CUST0393,Customer 0393,36-45,Regular,C018
CUST0394,Customer 0394,46-55,Regular,C010
CUST0395,Customer 0395,18-25,Regular,C005
CUST0396,Customer 0396,26-35,Regular,C007
CUST0397,Customer 0397,36-45,Regular,C016
CUST0398,Customer 0398,26-35,Budget,C009
CUST0399,Customer 0399,26-35,Premium,C006
CUST0400,Customer 0400,46-55,Budget,C007
CUST0401,Customer 0401,46-55,Premium,C022
CUST0402,Customer 0402,46-55,Regular,C025
CUST0403,Customer 0403,36-45,Budget,C010
CUST0404,Customer 0404,26-35,Budget,C016
CUST0405,Customer 0405,26-35,Regular,C004
CUST0406,Customer 0406,36-45,Regular,C006
CUST0407,Customer 0407,36-45,Regular,C016
CUST0408,Customer 0408,56+,Regular,C011
CUST0409,Customer 0409,56+,Regular,C022
CUST0410,Customer 0410,26-35,Regular,C007
CUST0411,Customer 0411,56+,Regular,C024
CUST0412,Customer 0412,46-55,Premium,C007
CUST0413,Customer 0413,18-25,Regular,C016
CUST0414,Customer 0414,36-45,Premium,C018
CUST0415,Customer 0415,36-45,Regular,C002
CUST0416,Customer 0416,26-35,Regular,C018
CUST0417,Customer 0417,46-55,Budget,C025
CUST0418,Customer 0418,18-25,Budget,C022
CUST0419,Customer 0419,26-35,Premium,C024
CUST0420,Customer 0420,18-25,Premium,C016
CUST0421,Customer 0421,18-25,Premium,C011
CUST0422,Customer 0422,26-35,Budget,C012
CUST0423,Customer 0423,26-35,Regular,C004
CUST0424,Customer 0424,36-45,Premium,C014
CUST0425,Customer 0425,18-25,Regular,C022
CUST0426,Customer 0426,18-25,Premium,C005
CUST0427,Customer 0427,36-45,Regular,C018
CUST0428,Customer 0428,36-45,Regular,C008
CUST0429,Customer 0429,26-35,Budget,C009
CUST0430,Customer 0430,26-35,Budget,C020
CUST0431,Customer 0431,36-45,Regular,C004
CUST0432,Customer 0432,18-25,Premium,C014
CUST0433,Customer 0433,26-35,Premium,C012
CUST0434,Customer 0434,46-55,Premium,C012
CUST0435,Customer 0435,46-55,Premium,C018
CUST0436,Customer 0436,36-45,Regular,C001
CUST0437,Customer 0437,36-45,Regular,C004
CUST0438,Customer 0438,46-55,Premium,C016
CUST0439,Customer 0439,36-45,Regular,C015
CUST0440,Customer 0440,46-55,Regular,C014
CUST0441,Customer 0441,26-35,Regular,C008
CUST0442,Customer 0442,18-25,Regular,C025
CUST0443,Customer 0443,26-35,Regular,C025
CUST0444,Customer 0444,26-35,Regular,C004
CUST0445,Customer 0445,18-25,Regular,C023
CUST0446,Customer 0446,26-35,Budget,C006
CUST0447,Customer 0447,18-25,Regular,C012
CUST0448,Customer 0448,36-45,High Value,C011
CUST0449,Customer 0449,26-35,Regular,C004
CUST0450,Customer 0450,46-55,Regular,C003
CUST0451,Customer 0451,26-35,Regular,C018
CUST0452,Customer 0452,26-35,Regular,C015
CUST0453,Customer 0453,26-35,Regular,C025
CUST0454,Customer 0454,26-35,Regular,C008
CUST0455,Customer 0455,26-35,Regular,C016
CUST0456,Customer 0456,18-25,Premium,C011
CUST0457,Customer 0457,36-45,Regular,C006
CUST0458,Customer 0458,26-35,Regular,C019
CUST0459,Customer 0459,36-45,Regular,C010
CUST0460,Customer 0460,46-55,Budget,C023
CUST0461,Customer 0461,26-35,Regular,C001
CUST0462,Customer 0462,18-25,Premium,C008
CUST0463,Customer 0463,46-55,Premium,C007
CUST0464,Customer 0464,36-45,Regular,C021
CUST0465,Customer 0465,36-45,Regular,C005
CUST0466,Customer 0466,36-45,Regular,C020
CUST0467,Customer 0467,26-35,High Value,C011
CUST0468,Customer 0468,46-55,Budget,C009
CUST0469,Customer 0469,26-35,Premium,C018
CUST0470,Customer 0470,46-55,Premium,C015
CUST0471,Customer 0471,18-25,Premium,C025
CUST0472,Customer 0472,56+,Regular,C010
CUST0473,Customer 0473,36-45,Premium,C001
CUST0474,Customer 0474,36-45,High Value,C017
CUST0475,Customer 0475,18-25,Premium,C007
CUST0476,Customer 0476,36-45,Regular,C016
CUST0477,Customer 0477,18-25,Budget,C001
CUST0478,Customer 0478,26-35,Regular,C019
CUST0479,Customer 0479,46-55,Regular,C025
CUST0480,Customer 0480,46-55,High Value,C020
CUST0481,Customer 0481,46-55,Regular,C001
CUST0482,Customer 0482,26-35,Regular,C009
CUST0483,Customer 0483,36-45,Regular,C001
CUST0484,Customer 0484,26-35,Regular,C024
CUST0485,Customer 0485,56+,Budget,C021
CUST0486,Customer 0486,26-35,High Value,C008
CUST0487,Customer 0487,26-35,Premium,C010
CUST0488,Customer 0488,26-35,Budget,C005
CUST0489,Customer 0489,26-35,Budget,C001
CUST0490,Customer 0490,46-55,Budget,C009
CUST0491,Customer 0491,36-45,Premium,C018
CUST0492,Customer 0492,36-45,Regular,C003
CUST0493,Customer 0493,36-45,Regular,C011
CUST0494,Customer 0494,36-45,Budget,C024
CUST0495,Customer 0495,36-45,Premium,C008
CUST0496,Customer 0496,36-45,Regular,C025
CUST0497,Customer 0497,18-25,Premium,C010
CUST0498,Customer 0498,26-35,Regular,C008
CUST0499,Customer 0499,36-45,Budget,C002
CUST0500,Customer 0500,56+,Regular,C023
