Merchant_ID,Merchant_Name,Merchant_Size,Industry,City_ID,Monthly_UPI_Volume,Small_Merchant_Flag
M058,UrbanMart Ahmedabad Store 058,Small,Retail,C008,124472.18,False
M059,UrbanMart Jaipur Store 059,Medium,Retail,C009,132669.02,False
M060,UrbanMart Lucknow Store 060,Enterprise,Retail,C010,242819.64,False
M061,UrbanMart Chandigarh Store 061,Large,Retail,C011,214415.93,False
M062,UrbanMart Indore Store 062,Large,Retail,C012,408846.1,False
M063,UrbanMart Kochi Store 063,Large,Retail,C013,448578.9,False
M064,UrbanMart Coimbatore Store 064,Medium,Retail,C014,140715.37,False
M065,UrbanMart Bhubaneswar Store 065,Medium,Retail,C015,307209.35,False
M066,UrbanMart Guwahati Store 066,Large,Retail,C016,135406.17,False
M067,UrbanMart Patna Store 067,Medium,Retail,C017,377450.97,False
M068,UrbanMart Nagpur Store 068,Large,Retail,C018,285943.42,False
M069,UrbanMart Surat Store 069,Enterprise,Retail,C019,439145.25,False
M070,UrbanMart Bhopal Store 070,Large,Retail,C020,420318.46,False
M071,UrbanMart Kanpur Store 071,Medium,Retail,C021,142491.65,False
M072,UrbanMart Visakhapatnam Store 072,Medium,Retail,C022,200273.16,False
M073,UrbanMart Vadodara Store 073,Large,Retail,C023,272487.05,False
M074,UrbanMart Ranchi Store 074,Large,Retail,C024,340540.15,False
M075,UrbanMart Mysuru Store 075,Medium,Retail,C025,129153.94,False
M076,UrbanMart Mumbai Store 076,Medium,Retail,C001,285102.62,False
M077,UrbanMart Delhi Store 077,Small,Retail,C002,39057.22,True
M078,UrbanMart Bengaluru Store 078,Medium,Retail,C003,128114.83,False
M079,UrbanMart Hyderabad Store 079,Small,Retail,C004,42512.28,True
M080,UrbanMart Chennai Store 080,Small,Retail,C005,56013.54,True
M081,UrbanMart Kolkata Store 081,Large,Retail,C006,201293.36,False
M082,UrbanMart Pune Store 082,Enterprise,Retail,C007,400210.2,False
M083,UrbanMart Ahmedabad Store 083,Small,Retail,C008,45601.6,True
M084,UrbanMart Jaipur Store 084,Medium,Retail,C009,411371.6,False
M085,UrbanMart Lucknow Store 085,Medium,Retail,C010,93647.18,False
M086,UrbanMart Chandigarh Store 086,Small,Retail,C011,392641.15,False
M087,UrbanMart Indore Store 087,Large,Retail,C012,205013.64,False
M088,UrbanMart Kochi Store 088,Large,Retail,C013,210788.99,False
M089,UrbanMart Coimbatore Store 089,Small,Retail,C014,315602.87,False
M090,UrbanMart Bhubaneswar Store 090,Medium,Retail,C015,345343.23,False
M091,UrbanMart Guwahati Store 091,Large,Retail,C016,151260.54,False
M092,UrbanMart Patna Store 092,Large,Retail,C017,429005.11,False
M093,UrbanMart Nagpur Store 093,Medium,Retail,C018,107607.7,False
M094,UrbanMart Surat Store 094,Medium,Retail,C019,269916.79,False
M095,UrbanMart Bhopal Store 095,Small,Retail,C020,88167.28,True
M096,UrbanMart Kanpur Store 096,Medium,Retail,C021,210921.68,False
M097,UrbanMart Visakhapatnam Store 097,Medium,Retail,C022,124687.54,False
M098,UrbanMart Vadodara Store 098,Enterprise,Retail,C023,322876.8,False
M099,UrbanMart Ranchi Store 099,Large,Retail,C024,436575.17,False
M100,UrbanMart Mysuru Store 100,Medium,Retail,C025,386974.99,False
