Transaction_ID,Transaction_Date,Date_Key,Merchant_ID,Customer_ID,Product_ID,City_ID,Payment_ID,Payment_Method,UPI_Type,Quantity,Gross_Sales_Amount,Discount,Transaction_Amount,Cost_of_Goods,Gross_Profit,Transaction_Status
TXN000037,2026-07-05,20260705,M021,CUST0403,P024,C021,PAY001,UPI,P2M,1,3571.58,178.58,3393.0,2390,1003.0,Success
TXN000038,2026-08-15,20260815,M053,CUST0263,P025,C003,PAY003,Credit Card,,1,4719.74,235.99,4483.75,2780,1703.75,Success
TXN000039,2026-07-23,20260723,M021,CUST0438,P024,C021,PAY003,Credit Card,,1,3473.48,0.0,3473.48,2390,1083.48,Success
TXN000040,2026-06-21,20260621,M020,CUST0030,P006,C020,PAY001,UPI,P2M,1,38812.4,0.0,38812.4,30690,8122.4,Failed
TXN000041,2026-08-29,20260829,M022,CUST0328,P021,C022,PAY003,Credit Card,,1,10568.63,528.43,10040.2,9100,940.2,Success
TXN000042,2026-09-07,20260907,M013,CUST0424,P025,C013,PAY003,Credit Card,,1,4547.8,227.39,4320.41,2780,1540.41,Success
TXN000043,2026-07-26,20260726,M065,CUST0109,P032,C015,PAY001,UPI,P2M,1,616.26,49.3,566.96,470,96.96,Success
TXN000044,2026-07-25,20260725,M059,CUST0018,P024,C009,PAY001,UPI,P2M,1,3652.78,0.0,3652.78,2390,1262.78,Success
TXN000045,2026-09-10,20260910,M094,CUST0198,P026,C019,PAY001,UPI,P2M,2,3254.46,65.09,3189.37,2840,349.37,Failed
TXN000046,2026-07-22,20260722,M097,CUST0016,P023,C022,PAY004,Debit Card,,1,4107.43,205.37,3902.06,2660,1242.06,Success
TXN000047,2026-04-28,20260428,M050,CUST0422,P027,C025,PAY004,Debit Card,,1,4067.96,81.36,3986.61,3040,946.61,Success
TXN000048,2026-07-16,20260716,M096,CUST0387,P014,C021,PAY001,UPI,P2M,1,4199.16,209.96,3989.2,3500,489.2,Success
TXN000049,2026-09-30,20260930,M026,CUST0260,P021,C001,PAY001,UPI,P2M,1,10514.01,0.0,10514.01,9100,1414.01,Success
TXN000050,2026-09-01,20260901,M011,CUST0029,P002,C011,PAY001,UPI,P2M,2,45013.56,3601.08,41412.47,35320,6092.47,Success
TXN000051,2026-06-20,20260620,M066,CUST0296,P028,C016,PAY001,UPI,P2M,2,1683.56,84.18,1599.38,1080,519.38,Success
TXN000052,2026-04-03,20260403,M049,CUST0477,P020,C024,PAY001,UPI,P2M,4,85074.14,0.0,85074.14,60960,24114.14,Success
TXN000053,2026-06-14,20260614,M036,CUST0446,P010,C011,PAY001,UPI,P2M,1,4375.48,218.77,4156.71,3270,886.71,Success
TXN000054,2026-04-13,20260413,M076,CUST0281,P035,C001,PAY001,UPI,P2M,1,395.4,19.77,375.63,250,125.63,Success
TXN000055,2026-08-12,20260812,M020,CUST0367,P015,C020,PAY001,UPI,P2M,1,5852.31,0.0,5852.31,4420,1432.31,Success
TXN000056,2026-05-03,20260503,M045,CUST0219,P015,C020,PAY001,UPI,P2M,3,17146.64,342.93,16803.71,13260,3543.71,Success
TXN000057,2026-05-19,20260519,M011,CUST0356,P036,C011,PAY001,UPI,P2M,2,712.27,0.0,712.27,580,132.27,Success
TXN000058,2026-05-27,20260527,M062,CUST0079,P022,C012,PAY001,UPI,P2M,1,878.5,70.28,808.22,740,68.22,Success
TXN000059,2026-04-24,20260424,M011,CUST0096,P038,C011,PAY001,UPI,P2M,1,1195.72,0.0,1195.72,810,385.72,Success
TXN000060,2026-07-18,20260718,M024,CUST0083,P012,C024,PAY004,Debit Card,,2,3704.23,74.08,3630.15,3200,430.15,Success
TXN000061,2026-09-06,20260906,M004,CUST0035,P002,C004,PAY004,Debit Card,,3,69060.09,1381.2,67678.89,52980,14698.89,Success
TXN000062,2026-06-30,20260630,M028,CUST0159,P009,C003,PAY003,Credit Card,,1,43306.95,0.0,43306.95,33370,9936.95,Success
TXN000063,2026-07-01,20260701,M053,CUST0251,P032,C003,PAY004,Debit Card,,1,650.15,78.02,572.13,470,102.13,Success
TXN000064,2026-08-24,20260824,M067,CUST0228,P049,C017,PAY001,UPI,P2M,1,15757.7,315.15,15442.54,13180,2262.54,Success
TXN000065,2026-06-07,20260607,M095,CUST0053,P047,C020,PAY005,Cash,,1,917.47,0.0,917.47,750,167.47,Success
TXN000066,2026-07-31,20260731,M055,CUST0204,P017,C005,PAY005,Cash,,2,45701.77,3656.14,42045.63,36340,5705.63,Success
TXN000067,2026-06-06,20260606,M022,CUST0147,P021,C022,PAY003,Credit Card,,1,11557.47,1386.9,10170.58,9100,1070.58,Success
TXN000068,2026-04-28,20260428,M067,CUST0007,P024,C017,PAY001,UPI,P2M,2,6931.84,831.82,6100.02,4780,1320.02,Success
TXN000069,2026-09-19,20260919,M080,CUST0378,P017,C005,PAY001,UPI,P2M,2,46051.24,2302.56,43748.68,36340,7408.68,Success
TXN000070,2026-05-02,20260502,M061,CUST0375,P046,C011,PAY001,UPI,P2M,1,501.34,0.0,501.34,290,211.34,Success
TXN000071,2026-06-09,20260609,M005,CUST0174,P036,C005,PAY001,UPI,P2M,1,376.23,30.1,346.13,290,56.13,Success
TXN000072,2026-04-13,20260413,M028,CUST0308,P029,C003,PAY001,UPI,P2M,1,2280.23,114.01,2166.22,1760,406.22,Success
TXN000073,2026-06-15,20260615,M025,CUST0190,P003,C025,PAY004,Debit Card,,2,49992.46,3999.4,45993.06,36300,9693.06,Failed
TXN000074,2026-04-09,20260409,M049,CUST0229,P030,C024,PAY004,Debit Card,,1,3943.87,78.88,3865.0,3270,595.0,Success
TXN000075,2026-04-15,20260415,M024,CUST0326,P021,C024,PAY001,UPI,P2M,2,22777.49,0.0,22777.49,18200,4577.49,Success
TXN000076,2026-08-30,20260830,M027,CUST0210,P041,C002,PAY003,Credit Card,,1,2154.38,107.72,2046.66,1260,786.66,Success
TXN000077,2026-07-11,20260711,M025,CUST0184,P049,C025,PAY005,Cash,,1,15884.34,794.22,15090.12,13180,1910.12,Success
TXN000078,2026-09-15,20260915,M080,CUST0497,P002,C005,PAY001,UPI,P2M,2,41602.12,0.0,41602.12,35320,6282.12,Success
TXN000079,2026-04-06,20260406,M040,CUST0352,P034,C015,PAY001,UPI,P2M,2,868.33,0.0,868.33,740,128.33,Success
TXN000080,2026-09-04,20260904,M036,,P026,C011,PAY005,Cash,,2,3586.88,179.34,3407.54,2840,567.54,Failed
TXN000081,2026-05-11,20260511,M039,CUST0203,P037,C014,PAY001,UPI,P2M,1,1215.22,24.3,1190.91,760,430.91,Success
TXN000082,2026-04-29,20260429,M039,CUST0104,P026,C014,PAY005,Cash,,1,1784.4,0.0,1784.4,1420,364.4,Success
TXN000083,2026-08-18,20260818,M100,CUST0311,P045,C025,PAY001,UPI,P2M,4,2522.97,0.0,2522.97,1840,682.97,Success
TXN000084,2026-07-18,20260718,M003,CUST0487,P042,C003,PAY003,Credit Card,,1,621.61,49.73,571.88,510,61.88,Success
TXN000085,2026-08-11,20260811,M025,CUST0243,P016,C025,PAY003,Credit Card,,1,34563.71,1728.19,32835.52,26970,5865.52,Success
TXN000086,2026-05-03,20260503,M094,CUST0109,P021,C019,PAY005,Cash,,2,20741.19,1037.06,19704.13,18200,1504.13,Success
TXN000087,2026-04-27,20260427,M059,CUST0028,P034,C009,PAY001,UPI,P2M,1,470.61,23.53,447.08,370,77.08,Success
TXN000088,2026-08-04,20260804,M082,CUST0120,P034,C007,PAY004,Debit Card,,2,876.51,43.83,832.68,740,92.68,Success
TXN000089,2026-09-03,20260903,M059,CUST0327,P018,C009,PAY003,Credit Card,,1,10897.3,0.0,10897.3,7660,3237.3,Success
TXN000090,2026-05-16,20260516,M094,CUST0306,P046,C019,PAY001,UPI,P2M,4,1976.73,0.0,1976.73,1160,816.73,Success
TXN000091,2026-06-11,20260611,M039,CUST0400,P035,C014,PAY001,UPI,P2M,1,360.18,0.0,360.18,250,110.18,Success
TXN000092,2026-08-29,20260829,M068,CUST0443,P039,C018,PAY004,Debit Card,,2,1221.22,24.42,1196.8,920,276.8,Success
TXN000093,2026-07-13,20260713,M076,CUST0238,P012,C001,PAY001,UPI,P2M,2,4110.22,328.82,3781.4,3200,581.4,Success
TXN000094,2026-07-30,20260730,M094,CUST0017,P030,C019,PAY001,UPI,P2M,2,7987.79,0.0,7987.79,6540,1447.79,Success
TXN000095,2026-05-02,20260502,M032,CUST0475,P040,C007,PAY004,Debit Card,,1,1515.22,0.0,1515.22,960,555.22,Success
TXN000096,2026-08-01,20260801,M051,CUST0398,P016,C001,PAY001,UPI,P2M,2,67021.54,3351.08,63670.46,53940,9730.46,Success
TXN000097,2026-08-27,20260827,M030,CUST0444,P031,C005,PAY001,UPI,P2M,2,961.42,19.23,942.19,820,122.19,Success
TXN000098,2026-08-08,20260808,M080,CUST0010,P015,C005,PAY005,Cash,,2,11549.89,0.0,11549.89,8840,2709.89,Success
TXN000099,2026-07-05,20260705,M072,CUST0088,P042,C022,PAY004,Debit Card,,1,589.34,11.79,577.55,510,67.55,Success
TXN000100,2026-09-16,20260916,M031,CUST0430,P036,C006,PAY004,Debit Card,,1,383.86,0.0,383.86,290,93.86,Success
TXN000101,2026-04-29,20260429,M007,CUST0429,P020,C007,PAY003,Credit Card,,1,20779.39,0.0,20779.39,15240,5539.39,Success
TXN000102,2026-04-08,20260408,M003,CUST0174,P044,C003,PAY001,UPI,P2M,2,3233.92,0.0,3233.92,2240,993.92,Success
TXN000103,2026-06-03,20260603,M042,CUST0370,P009,C017,PAY001,UPI,P2M,1,44241.54,0.0,44241.54,33370,10871.54,Success
TXN000104,2026-09-21,20260921,M016,CUST0040,P041,C016,PAY003,Credit Card,,1,2161.25,0.0,2161.25,1260,901.25,Success
TXN000105,2026-07-13,20260713,M059,CUST0124,P028,C009,PAY001,UPI,P2M,1,828.52,0.0,828.52,540,288.52,Success
TXN000106,2026-05-05,20260505,M077,CUST0230,P026,C002,PAY001,UPI,P2M,1,1724.47,34.49,1689.98,1420,269.98,Failed
TXN000107,2026-09-09,20260909,M027,CUST0056,P009,C002,PAY004,Debit Card,,1,42531.69,0.0,42531.69,33370,9161.69,Success
TXN000108,2026-09-09,20260909,M086,CUST0322,P002,C011,PAY003,Credit Card,,1,21690.46,1084.52,20605.94,17660,2945.94,Success
TXN000109,2026-05-24,20260524,M096,CUST0205,P043,C021,PAY004,Debit Card,,1,920.37,0.0,920.37,560,360.37,Success
TXN000110,2026-07-01,20260701,M003,CUST0361,P005,C003,PAY004,Debit Card,,1,50321.44,0.0,50321.44,33600,16721.44,Success
TXN000111,2026-07-04,20260704,M016,CUST0278,P003,C016,PAY004,Debit Card,,1,24243.67,2909.24,21334.43,18150,3184.43,Success
TXN000112,2026-08-01,20260801,M042,CUST0454,P033,C017,PAY001,UPI,P2M,2,338.12,0.0,338.12,300,38.12,Success
TXN000113,2026-04-29,20260429,M048,CUST0022,P038,C023,PAY001,UPI,P2M,2,2455.33,294.64,2160.69,1620,540.69,Success
TXN000114,2026-07-08,20260708,M067,,P013,C017,PAY001,UPI,P2M,3,8276.94,165.54,8111.4,5310,2801.4,Failed
TXN000115,2026-09-30,20260930,M047,CUST0393,P024,C022,PAY001,UPI,P2M,4,14132.53,706.63,13425.91,9560,3865.91,Success
TXN000116,2026-09-16,20260916,M023,CUST0217,P048,C023,PAY003,Credit Card,,2,1788.77,35.78,1752.99,1580,172.99,Success
TXN000117,2026-08-01,20260801,M049,CUST0187,P037,C024,PAY004,Debit Card,,1,1335.1,26.7,1308.39,760,548.39,Success
TXN000118,2026-04-27,20260427,M088,CUST0144,P047,C013,PAY003,Credit Card,,1,888.59,44.43,844.16,750,94.16,Success
TXN000119,2026-05-06,20260506,M039,CUST0007,P040,C014,PAY003,Credit Card,,1,1499.37,0.0,1499.37,960,539.37,Success
TXN000120,2026-05-10,20260510,M035,CUST0278,P030,C010,PAY001,UPI,P2M,1,3810.13,304.81,3505.32,3270,235.32,Success
TXN000121,2026-08-07,20260807,M016,CUST0479,P046,C016,PAY001,UPI,P2M,4,1840.69,92.03,1748.66,1160,588.66,Success
TXN000122,2026-04-19,20260419,M083,CUST0456,P014,C008,PAY001,UPI,P2M,1,4509.74,0.0,4509.74,3500,1009.74,Success
TXN000123,2026-07-16,20260716,M021,CUST0171,P007,C021,PAY003,Credit Card,,1,36442.72,1822.14,34620.58,29480,5140.58,Success
TXN000124,2026-05-09,20260509,M040,CUST0269,P019,C015,PAY003,Credit Card,,1,14994.35,1799.32,13195.03,12020,1175.03,Success
TXN000125,2026-08-26,20260826,M089,,P031,C014,PAY005,Cash,,3,1504.01,0.0,1504.01,1230,274.01,Failed
TXN000126,2026-07-15,20260715,M034,CUST0111,P010,C009,PAY001,UPI,P2M,1,4443.0,0.0,4443.0,3270,1173.0,Success
TXN000127,2026-05-16,20260516,M008,CUST0454,P011,C008,PAY005,Cash,,2,7651.46,153.03,7498.43,5020,2478.43,Success
TXN000128,2026-07-05,20260705,M028,CUST0017,P014,C003,PAY003,Credit Card,,1,4310.57,0.0,4310.57,3500,810.57,Success
TXN000129,2026-05-22,20260522,M016,CUST0347,P035,C016,PAY001,UPI,P2M,2,750.85,90.1,660.75,500,160.75,Success
TXN000130,2026-08-30,20260830,M028,CUST0420,P031,C003,PAY004,Debit Card,,1,523.65,0.0,523.65,410,113.65,Success
TXN000131,2026-04-21,20260421,M044,CUST0070,P020,C019,PAY001,UPI,P2M,1,20684.0,413.68,20270.32,15240,5030.32,Success
TXN000132,2026-07-25,20260725,M027,CUST0265,P035,C002,PAY004,Debit Card,,2,717.73,0.0,717.73,500,217.73,Success
TXN000133,2026-07-13,20260713,M100,CUST0367,P016,C025,PAY002,UPI,P2P,1,33985.45,0.0,33985.45,26970,7015.45,Success
TXN000134,2026-04-16,20260416,M016,CUST0029,P030,C016,PAY004,Debit Card,,2,7985.43,638.83,7346.59,6540,806.59,Success
TXN000135,2026-07-09,20260709,M092,CUST0013,P031,C017,PAY001,UPI,P2M,1,508.59,0.0,508.59,410,98.59,Success
TXN000136,2026-09-14,20260914,M097,CUST0169,P037,C022,PAY003,Credit Card,,1,1255.44,0.0,1255.44,760,495.44,Success
TXN000137,2026-05-10,20260510,M019,CUST0320,P030,C019,PAY001,UPI,P2M,1,3986.13,199.31,3786.82,3270,516.82,Success
TXN000138,2026-08-06,20260806,M044,CUST0214,P038,C019,PAY004,Debit Card,,4,4705.26,0.0,4705.26,3240,1465.26,Success
TXN000139,2026-07-15,20260715,M040,CUST0148,P025,C015,PAY004,Debit Card,,1,4247.29,0.0,4247.29,2780,1467.29,Success
TXN000140,2026-06-19,20260619,M003,CUST0301,P025,C003,PAY001,UPI,P2M,2,8512.83,425.64,8087.19,5560,2527.19,Success
TXN000141,2026-06-24,20260624,M097,CUST0341,P022,C022,PAY001,UPI,P2M,2,1888.35,94.42,1793.93,1480,313.93,Success
TXN000142,2026-06-20,20260620,M051,CUST0121,P050,C001,PAY005,Cash,,1,66125.0,3306.25,62818.75,57670,5148.75,Success
TXN000143,2026-08-08,20260808,M036,CUST0212,P029,C011,PAY001,UPI,P2M,1,2331.9,0.0,2331.9,1760,571.9,Success
TXN000144,2026-09-04,20260904,M006,CUST0025,P033,C006,PAY001,UPI,P2M,1,173.54,0.0,173.54,150,23.54,Success
TXN000145,2026-05-18,20260518,M038,CUST0115,P037,C013,PAY001,UPI,P2M,2,2652.1,0.0,2652.1,1520,1132.1,Success
TXN000146,2026-04-26,20260426,M072,CUST0203,P036,C022,PAY001,UPI,P2M,1,351.05,17.55,333.5,290,43.5,Success
TXN000147,2026-07-18,20260718,M036,CUST0123,P003,C011,PAY005,Cash,,2,47857.67,0.0,47857.67,36300,11557.67,Success
TXN000148,2026-09-01,20260901,M020,CUST0232,P047,C020,PAY001,UPI,P2M,1,863.4,43.17,820.23,750,70.23,Success
TXN000149,2026-04-26,20260426,M055,CUST0299,P022,C005,PAY003,Credit Card,,4,3897.99,311.84,3586.15,2960,626.15,Success
TXN000150,2026-09-09,20260909,M067,CUST0237,P007,C017,PAY001,UPI,P2M,4,145140.11,0.0,145140.11,117920,27220.11,Success
TXN000151,2026-08-02,20260802,M046,CUST0320,P020,C021,PAY001,UPI,P2M,4,81349.07,1626.98,79722.09,60960,18762.09,Success
TXN000152,2026-06-04,20260604,M082,CUST0142,P031,C007,PAY003,Credit Card,,1,507.75,25.39,482.36,410,72.36,Success
TXN000153,2026-09-11,20260911,M092,CUST0047,P017,C017,PAY003,Credit Card,,1,23645.44,1182.27,22463.16,18170,4293.16,Success
TXN000154,2026-05-26,20260526,M039,CUST0217,P047,C014,PAY003,Credit Card,,1,842.68,67.41,775.26,750,25.26,Success
TXN000155,2026-04-16,20260416,M049,CUST0016,P015,C024,PAY003,Credit Card,,1,5400.0,108.0,5292.0,4420,872.0,Success
TXN000156,2026-06-14,20260614,M055,CUST0053,P047,C005,PAY001,UPI,P2M,1,889.28,44.46,844.82,750,94.82,Success
TXN000157,2026-05-18,20260518,M034,CUST0308,P016,C009,PAY005,Cash,,1,34068.67,1703.43,32365.24,26970,5395.24,Success
TXN000158,2026-06-23,20260623,M062,CUST0487,P036,C012,PAY001,UPI,P2M,1,387.31,0.0,387.31,290,97.31,Success
TXN000159,2026-05-03,20260503,M058,CUST0225,P033,C008,PAY005,Cash,,1,170.52,20.46,150.06,150,0.06,Success
TXN000160,2026-07-11,20260711,M035,CUST0178,P043,C010,PAY001,UPI,P2M,1,924.17,0.0,924.17,560,364.17,Success
TXN000161,2026-07-24,20260724,M039,CUST0108,P006,C014,PAY001,UPI,P2M,1,38706.6,3096.53,35610.07,30690,4920.07,Success
TXN000162,2026-07-17,20260717,M006,CUST0401,P001,C006,PAY001,UPI,P2M,3,49905.12,0.0,49905.12,41220,8685.12,Success
TXN000163,2026-08-07,20260807,M084,CUST0220,P026,C009,PAY004,Debit Card,,2,3477.15,173.86,3303.3,2840,463.3,Success
TXN000164,2026-05-04,20260504,M001,CUST0494,P046,C001,PAY001,UPI,P2M,4,1956.85,156.55,1800.3,1160,640.3,Success
TXN000165,2026-09-14,20260914,M092,CUST0484,P012,C017,PAY001,UPI,P2M,2,4096.49,81.93,4014.56,3200,814.56,Success
TXN000166,2026-08-19,20260819,M012,CUST0410,P042,C012,PAY003,Credit Card,,1,590.62,29.53,561.09,510,51.09,Success
TXN000167,2026-08-20,20260820,M079,CUST0451,P004,C004,PAY001,UPI,P2M,1,35790.18,715.8,35074.38,30000,5074.38,Success
TXN000168,2026-06-08,20260608,M045,CUST0272,P027,C020,PAY003,Credit Card,,1,3987.71,79.75,3907.95,3040,867.95,Success
TXN000169,2026-05-05,20260505,M056,CUST0035,P009,C006,PAY001,UPI,P2M,1,44047.74,880.95,43166.79,33370,9796.79,Failed
TXN000170,2026-08-13,20260813,M048,CUST0298,P026,C023,PAY003,Credit Card,,2,3448.85,275.91,3172.94,2840,332.94,Success
TXN000171,2026-04-27,20260427,M019,CUST0059,P027,C019,PAY001,UPI,P2M,3,11827.44,0.0,11827.44,9120,2707.44,Success
TXN000172,2026-09-28,20260928,M037,CUST0354,P013,C012,PAY001,UPI,P2M,3,8144.52,162.89,7981.63,5310,2671.63,Success
TXN000173,2026-04-01,20260401,M016,CUST0203,P009,C016,PAY004,Debit Card,,1,46168.13,0.0,46168.13,33370,12798.13,Success
TXN000174,2026-08-12,20260812,M078,CUST0319,P013,C003,PAY001,UPI,P2M,1,2988.28,59.77,2928.52,1770,1158.52,Success
TXN000175,2026-07-03,20260703,M045,CUST0339,P027,C020,PAY001,UPI,P2M,3,11897.88,1427.75,10470.14,9120,1350.14,Success
TXN000176,2026-06-06,20260606,M076,CUST0165,P017,C001,PAY004,Debit Card,,1,24721.11,2966.53,21754.57,18170,3584.57,Success
TXN000177,2026-08-04,20260804,M030,CUST0303,P010,C005,PAY001,UPI,P2M,2,9333.04,186.66,9146.37,6540,2606.37,Success
TXN000178,2026-06-02,20260602,M072,CUST0313,P039,C022,PAY001,UPI,P2M,1,592.79,0.0,592.79,460,132.79,Success
TXN000179,2026-06-10,20260610,M068,CUST0222,P039,C018,PAY001,UPI,P2M,4,2504.66,125.23,2379.43,1840,539.43,Success
TXN000180,2026-08-05,20260805,M042,CUST0272,P033,C017,PAY001,UPI,P2M,3,551.75,11.04,540.72,450,90.72,Success
TXN000181,2026-07-15,20260715,M002,CUST0162,P003,C002,PAY004,Debit Card,,1,22991.65,2759.0,20232.65,18150,2082.65,Success
TXN000182,2026-07-09,20260709,M083,CUST0356,P017,C008,PAY005,Cash,,1,24577.33,0.0,24577.33,18170,6407.33,Success
TXN000183,2026-08-10,20260810,M011,CUST0473,P023,C011,PAY005,Cash,,4,14656.3,0.0,14656.3,10640,4016.3,Success
TXN000184,2026-07-14,20260714,M083,CUST0166,P048,C008,PAY001,UPI,P2P,1,891.67,71.33,820.33,790,30.33,Success
TXN000185,2026-05-16,20260516,M019,CUST0031,P021,C019,PAY003,Credit Card,,2,22918.61,458.37,22460.24,18200,4260.24,Success
TXN000186,2026-04-27,20260427,M088,CUST0341,P022,C013,PAY001,UPI,P2M,1,875.49,43.77,831.72,740,91.72,Success
TXN000187,2026-07-04,20260704,M060,CUST0240,P036,C010,PAY003,Credit Card,,2,748.65,37.43,711.22,580,131.22,Success
TXN000188,2026-09-23,20260923,M084,CUST0172,P003,C009,PAY001,UPI,P2M,1,25677.86,0.0,25677.86,18150,7527.86,Success
TXN000189,2026-05-05,20260505,M086,CUST0112,P038,C011,PAY001,UPI,P2M,1,1263.77,63.19,1200.58,810,390.58,Success
TXN000190,2026-07-06,20260706,M059,CUST0151,P040,C009,PAY001,UPI,P2M,1,1473.74,73.69,1400.05,960,440.05,Success
TXN000191,2026-07-23,20260723,M034,CUST0023,P042,C009,PAY003,Credit Card,,1,637.46,0.0,637.46,510,127.46,Success
TXN000192,2026-08-21,20260821,M033,CUST0349,P021,C008,PAY003,Credit Card,,2,21078.41,421.57,20656.84,18200,2456.84,Success
TXN000193,2026-09-10,20260910,M064,CUST0416,P012,C014,PAY004,Debit Card,,3,6027.44,482.2,5545.25,4800,745.25,Success
TXN000194,2026-05-16,20260516,M045,CUST0129,P018,C020,PAY004,Debit Card,,2,21896.89,437.94,21458.96,15320,6138.96,Success
TXN000195,2026-04-11,20260411,M028,CUST0043,P005,C003,PAY005,Cash,,1,49137.65,0.0,49137.65,33600,15537.65,Success
